Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
24,15611287,"Sandeep Mittal","2026-04-13 20:11:39",1.00000,4,sandeep23forever
25,15612049,lsunxh,"2026-04-14 00:56:36",1.00000,4,lsunxh
26,15612066,"Sam Byrne","2026-04-14 01:04:34",1.00000,3,sambyrneq33d3d
27,15612125,"Ewomazino Onokpise","2026-04-14 01:19:27",1.00000,3,ewomazinoonokpise
28,15612163,wzxphy,"2026-04-14 01:35:24",1.00000,4,wzxphy
29,15612292,SaiKrishnaSam,"2026-04-14 02:17:01",1.00000,4,saikrishnasam
30,15612926,xuyenhuynhkate,"2026-04-14 04:40:24",1.00000,3,xuyenhuynhkate
31,15612952,"[Deleted] 4c580b23-db31-4c9a-aae3-ae5dae24b3cd","2026-04-14 04:57:36",1.00000,4,del=ee7c75af24bb4f86
32,15613042,"Mohammed M Khamis","2026-04-14 05:14:08",1.00000,3,mohammedmkhamis
33,15613221,"Sida Liu","2026-04-14 05:54:07",1.00000,3,sliu244
34,15613521,"Michelle X Shen","2026-04-14 06:47:16",1.00000,3,michellexshen
35,14653048,"hhh park","2026-04-14 06:45:54",1.00000,3,hhhpark
36,15613808,Star_xinglan,"2026-04-14 07:17:26",1.00000,1,starxinglan
37,15614041,"Dhivakar Ramesh","2026-04-14 08:05:37",1.00000,4,dhivakarram
38,15614187,ShucenLiu06,"2026-04-14 08:36:12",1.00000,3,shucenliu06
39,15615059,Deepika.amraj,"2026-04-14 11:07:41",1.00000,3,deepikaamraj
40,15616030,AhmedAbumasood,"2026-04-14 14:02:37",1.00000,3,ahmedabumasood
41,15616129,"JAMES JIANG666","2026-04-14 14:18:32",1.00000,3,jamesjiang666
42,15616912,"Mya Ma","2026-04-14 16:50:36",1.00000,3,myama669
43,15617131,"Gavin Kruise","2026-04-14 17:34:27",1.00000,4,gavinkruise
44,6289734,"kahang ngau","2026-04-14 18:23:06",1.00000,3,kahangngau
45,15617561,RoufenGao,"2026-04-14 19:22:35",1.00000,3,roufengao
46,15617656,"Josh McCulloch","2026-04-14 19:49:01",1.00000,3,joshmcculloch
47,15617719,"Afdhal Mohamed Hassan ","2026-04-14 20:07:22",1.00000,3,afdhalmohamedhassan
48,15617794,"Xuejian Yao","2026-04-14 20:49:24",1.00000,4,xuejianyao2026
49,15617852,Tony_Huh,"2026-04-14 20:53:19",1.00000,3,tonyhuh
50,15617851,"Xu Wenona","2026-04-14 20:53:30",1.00000,3,xuwenona
51,15618075,"Pranay Satish Yadav","2026-04-14 22:17:30",1.00000,3,pranaysatishyadav7
52,15618108,"Yulin Ray Pan","2026-04-14 22:28:24",1.00000,3,yulinraypan
53,15618151,"Tirth Patel #5","2026-04-14 22:57:27",1.00000,3,tpatel08
54,15618212,"William #19","2026-04-14 23:29:53",1.00000,3,yanningzhu
55,15618246,KayaK-Du,"2026-04-14 23:48:37",1.00000,4,kayakdu
56,15618280,Kateeeey,"2026-04-15 00:28:46",1.00000,3,kateeeey
57,15585477,2403김시온22,"2026-04-16 17:05:44",1.00000,27,sionkk1
58,15618331,terryicvnc,"2026-04-15 00:33:16",1.00000,3,terrync
59,15618398,SkyrimL,"2026-04-15 00:54:56",1.00000,3,skyriml
60,15618419,"Zihan Qiang","2026-04-15 01:03:13",1.00000,3,kactusq
61,15618587,"phearun phin","2026-04-15 01:57:22",1.00000,3,phearunphin
62,15618594,"Cesar Guerrero","2026-04-15 01:58:25",1.00000,3,monoguerin
63,15618625,"Natcha Kerdpoo","2026-04-15 02:24:58",1.00000,6,natchakerdpoo
64,15618755,"Moshmee Mahendra Mani","2026-04-15 02:50:12",1.00000,3,moshmeemahendra25
65,15618811,"Peng Wang #5","2026-04-15 03:08:29",1.00000,3,pengwangtrine
66,15582137,2623정동윤,"2026-04-16 06:04:33",1.00000,8,santy00
67,15582048,3717이동이,"2026-04-16 05:55:37",1.00000,18,stalt2
68,15581939,jajajaj2,"2026-04-16 06:19:05",1.00000,27,jajajaj2
69,15618910,"Arpit Prajapati #2","2026-04-15 03:40:11",1.00000,4,arpit306
70,15618938,QianMa,"2026-04-15 03:52:29",1.00000,3,sowater
71,15618992,"Xi CHU","2026-04-15 04:02:47",1.00000,3,xichuk
72,15619056,"Charlene Xinyi Zeng","2026-04-15 04:24:00",1.00000,3,charlenexinyizeng
73,15619082,VFariasCarvalh,"2026-04-15 04:33:31",1.00000,3,vfariascarvalh
74,15619257,"Ryan Yang #4","2026-04-15 05:18:50",1.00000,3,hyterion
75,15619282,"Mingmao Sun","2026-04-15 05:20:53",1.00000,3,kevinsun0826
76,15619318,"Yinglun Luo","2026-04-15 05:31:11",1.00000,3,yinglunluo
77,15619410,"jennifer H.L. jackson","2026-04-15 05:53:35",1.00000,3,jenniferjackson01
78,15619417,sammisyc,"2026-04-15 05:54:33",1.00000,3,sammisyc
79,15619588,"Roger Z","2026-04-15 06:26:23",1.00000,3,ruizhezh
80,15620911,"Akhiluddin Mohammed","2026-04-15 09:25:17",1.00000,3,akhiluddinmohammed
81,15620957,ZarinTasnimRahman,"2026-04-15 09:28:42",1.00000,3,zarintasnim12
82,15622338,"Arikatla Sailaja","2026-04-15 12:48:25",1.00000,3,arikatlasailaja
83,15622973,"Shijun Lyu","2026-04-15 14:58:46",1.00000,3,shijunlyu
84,15623088,"Indira Priya Darsini Induri","2026-04-15 15:17:02",1.00000,3,indhureddy2026
85,15623174,"Hariher Kalavandala","2026-04-15 15:41:31",1.00000,4,hariherkalavandala30
86,15623634,"Swetha Kanakamedala","2026-04-15 17:20:24",1.00000,3,swethak789
87,15623731,"Muhammad Junaid #3","2026-04-15 17:48:32",1.00000,4,muhammadjunaid2424
88,15623778,"Hishila Thapa","2026-04-15 17:59:48",1.00000,3,hishilathapa
89,15623797,AllTheBest1998#,"2026-04-15 18:04:23",1.00000,3,allthebest1998
90,15623814,KunXie,"2026-04-15 18:09:03",1.00000,3,kxlearning
91,15624290,"Shantanu Sheth","2026-04-15 20:06:46",1.00000,4,shantanusheth
92,15624339,"Aline da Fonseca Rosa","2026-04-15 20:17:08",1.00000,3,alinedafonsecarosa
93,15624567,"fnu Almaas Nazneen","2026-04-15 21:13:39",1.00000,3,fnualmaasnazneen
94,15624648,YugeAliceJin,"2026-04-15 21:28:46",1.00000,3,yugealicejin
95,15624693,"Yi Li #2","2026-04-15 21:39:10",1.00000,3,liyuer55
96,15624705,"Haokun Yang #3","2026-04-15 21:41:27",1.00000,3,chasewow
97,15624711,"Shuya Yu","2026-04-15 21:42:19",1.00000,3,shuyayu
98,15624971,"miguel njogu","2026-04-15 22:43:37",1.00000,4,miguelnjogu
99,15625205,lexicai11,"2026-04-15 23:38:48",1.00000,3,lexicai11
100,15625508,mwadhawan,"2026-04-16 00:36:51",1.00000,3,mwadhawan
101,15625774,"suvarchala naidu","2026-04-16 01:01:30",1.00000,3,suvarchalanaidu
102,15625841,"Hoang Thanh Tuyen Vu","2026-04-16 01:10:49",1.00000,4,hoangthanhtuyenvu
103,15625901,"Fei Tan","2026-04-16 01:17:13",1.00000,3,feiwuvvvvv
104,15625924,"Lihuang Su","2026-04-16 01:19:23",1.00000,3,lihuangsu
105,15625949,"Shiqi Liu","2026-04-16 01:22:27",1.00000,3,shiqiliu9629
106,15625968,"Quoc Anh Nguyen01","2026-04-16 01:26:14",1.00000,3,quocanhnguyen01
107,15625966,"Owen Edward Tom","2026-04-16 01:26:12",1.00000,3,owenedwardtom
108,15626001,XianlinXin0321,"2026-04-16 01:31:14",1.00000,3,xianlinxin0321
109,15626122,"Runzhou He","2026-04-16 01:53:59",1.00000,3,runzhouhe
110,15626133,"Dong Zou_Trine","2026-04-16 01:55:54",1.00000,3,dongzoutrine
111,15626250,Yuleyan,"2026-04-16 02:13:59",1.00000,3,yuleyan111
112,15626290,"Gabriele Loureiro","2026-04-16 02:16:25",1.00000,3,gabrieleloureiro
113,15626377,"Arpan Ojha #2","2026-04-16 02:21:22",1.00000,3,arpan987965
114,15626379,TengyangZhang,"2026-04-16 02:22:48",1.00000,3,tengyangzhang
115,15626169,"Yuho Kasuga123","2026-04-16 02:24:36",1.00000,4,yuhokasuga123
116,15626452,"Zixin Zhou","2026-04-16 02:31:46",1.00000,3,zixin99
117,15626493,"jianghao xue","2026-04-16 02:38:52",1.00000,3,jianghaoxue
118,15626514,"Darren Rawding","2026-04-16 02:41:56",1.00000,3,darrenrawding1
119,15626550,"Md Majedul Hasan","2026-04-16 02:49:36",1.00000,3,mdmajedulhasan254
120,15626610,"Abhisekh Ranabhat","2026-04-16 02:58:19",1.00000,3,abhisekhranabhat
121,15626621,Jiali@L@L,"2026-04-16 03:02:11",1.00000,3,jialill
122,15626658,"Catherine S","2026-04-16 03:03:30",1.00000,3,catherinelss
123,15626665,"Shyam Konagala","2026-04-16 03:05:36",1.00000,3,shyamkonagala
124,15626579,"Maram Al daraiseh","2026-04-16 03:04:57",1.00000,6,maramaldaraiseh
125,15626668,zhangyanma,"2026-04-16 03:07:00",1.00000,3,zhangyanma
126,15626694,"Akshith Gara","2026-04-16 03:10:52",1.00000,3,akshithgara
127,856969,rbakshee,"2026-04-16 03:27:08",1.00000,3,rahulbakshee
128,15626844,Hrana1504,"2026-04-16 03:33:19",1.00000,3,hrana1504
129,15626849,"Dhruvi Bhagat","2026-04-16 03:35:34",1.00000,3,dhruvibhagat
130,15626899,"Jerry OS Ren ","2026-04-16 03:41:41",1.00000,3,jerryosren
131,15626934,"Samiksha Ghimire1","2026-04-16 03:47:13",1.00000,3,samikshaghimire1
132,15626982,yessirskip,"2026-04-16 03:54:16",1.00000,3,yessirskip
133,15627087,"Z Wang #2","2026-04-16 04:10:42",1.00000,3,z6wang
134,15627122,ShaoyuZhang123,"2026-04-16 04:18:19",1.00000,3,shaoyuzhang123
135,15627683,Carrie003,"2026-04-16 05:52:12",1.00000,3,carrie003
136,15582092,고재현,"2026-04-22 03:08:13",1.00000,16,mt2202
137,15633007,"Bo Dong - Trine","2026-04-16 17:51:13",1.00000,3,bodongtrine
138,15197934,"abiyyu syauqi","2026-04-16 20:35:16",1.00000,10,abiyyusyauqi
139,15634007,"Satish Pinnamareddy","2026-04-16 21:36:55",1.00000,3,satishpinnamareddy
140,15634164,"Osama Siddiqui #2","2026-04-16 22:42:05",1.00000,3,trinebigdata
141,15634293,"Arjuman Aly","2026-04-16 23:36:35",1.00000,3,arjumanaly
142,15636557,"yanan wang #2","2026-04-17 08:17:40",1.00000,1,yananwang258
143,15620998,MeisterProper67,"2026-04-17 14:01:07",1.00000,5,meisterproper67
144,15638593,"Katerine Forero","2026-04-17 14:03:55",1.00000,1,katerineforero
145,15606608,"Andres Felipe Diaz Campos","2026-04-17 17:07:50",1.00000,3,andres1003
146,15642391,"Dalong Chen","2026-04-18 03:10:06",1.00000,3,dalongchen2026
147,15643325,"Lucas Escher","2026-04-18 06:10:34",1.00000,3,lucasescher
148,15601014,"Rutang Patel","2026-04-18 07:51:19",1.00000,21,rutangpatel
149,15646785,"tian airgt","2026-04-18 16:08:55",1.00000,1,tianairgt
150,15646512,xiaozhougai,"2026-04-27 11:02:23",1.00000,11,xiaozhougai
151,15647777,xxxxliu,"2026-04-18 19:21:28",1.00000,3,xxxxliu
152,15648027,"Shradha Basnet","2026-04-18 20:35:34",1.00000,3,shradhabasnet
153,15650221,"Mingshu Yao","2026-04-19 07:46:05",1.00000,3,mingshuyao
154,15652553,DanielUsim,"2026-04-19 15:08:59",1.00000,3,danielusim
155,15652895,"Ronak Goyal","2026-04-19 16:26:39",1.00000,3,ronakgoyal29
156,15653305,"Pratheek Voona","2026-04-19 17:48:32",1.00000,3,pratheekvoona
157,15653969,"Dimitris Fountos","2026-04-19 20:42:47",1.00000,4,dimitrisfountos
158,15654321,"Lemine El Bechir","2026-04-19 22:41:12",1.00000,3,lemineelbechir
159,15654330,"Quinn YANG","2026-04-19 22:42:18",1.00000,3,silvercorn
160,15733450,"Omer Cris","2026-04-24 18:17:30",1.00000,3,omercris
161,15761153,"Function AI","2026-04-28 07:44:26",1.00000,9,functionai
162,15102522,@dimas337tum,"2026-05-09 07:27:20",1.00000,2,dimas337tum
163,15789143,lenghuihuang,"2026-04-30 03:22:14",1.00000,3,lenghuihuang
164,15257581,"Samyakraj Bayar","2026-04-30 18:09:41",1.00000,1,samyakrajbayar
165,15804502,"Hongchul Lee (redggum)","2026-05-03 06:45:51",1.00000,21,hongchulleeredggum
166,15768623,weiyu85,"2026-05-03 08:46:33",1.00000,2,weiyu85
167,11801460,SamuraiMate,"2026-05-22 18:13:21",1.00000,20,samuraimate
168,13296257,"Amr El3RAB","2026-05-04 05:25:19",1.00000,1,el3rab
169,15322983,"Jeki Wan Taufik #2","2026-05-04 17:26:52",1.00000,6,jek1wantaufik
170,15850685,齋藤颯心,"2026-05-04 14:01:30",1.00000,3,earlgreytea15
171,14879560,"Баянмөнх Түвшинбаяр","2026-05-05 04:00:53",1.00000,1,vpermillion
172,15855301,"Team name is already in use.","2026-05-05 06:12:45",1.00000,2,hanxiao8080
173,15787197,SBAC05,"2026-05-06 08:36:54",1.00000,2,sbac05
174,15872255,"Altin Demku","2026-05-06 12:50:13",1.00000,6,altindemku
175,15872322,"Martin Hajnik","2026-05-06 12:52:12",1.00000,6,martinhajnik
176,15872121,"Kian Karimi","2026-05-06 12:52:16",1.00000,4,figgokian
177,15872628,erixh1,"2026-05-06 13:11:23",1.00000,4,erixh1
178,15889321,"[Deleted] 03c3e391-a2d1-473d-aae6-f201a9457bc8","2026-05-08 00:02:07",1.00000,11,del=45f779a08fa88dff
179,15875530,"Theodor SChneider","2026-05-11 07:11:12",1.00000,10,theodorschneider
180,15924977,"[Deleted] 9bef72d8-baad-42a7-af12-52595add84f1","2026-05-11 07:39:47",1.00000,4,savicgeorgije
181,15925315,"Georgije Savic","2026-05-11 07:40:45",1.00000,1,georgijesavic
182,15925108,"Matias Varela","2026-05-11 07:42:22",1.00000,5,varelambzz
183,15924886,perrif,"2026-05-11 07:43:41",1.00000,6,perrif
184,15925175,steinemannt,"2026-05-11 07:53:01",1.00000,3,steinemannt
185,15925252,"Lukas Lagler","2026-05-11 07:53:31",1.00000,3,lukaslagler
186,15924973,"Ajla Ponjevic","2026-05-11 07:59:25",1.00000,8,ajlaponjevic
187,15925076,"Marc Blaettler","2026-05-11 08:53:52",1.00000,5,marcblaettler
188,15924968,NoePec,"2026-05-11 09:13:05",1.00000,6,noepec
189,15925032,"Siro Zambra","2026-05-11 09:13:44",1.00000,6,sirozambra
190,15925268,"Ruven Studer","2026-05-11 09:15:32",1.00000,6,ruvenstuder
191,15926193,"Lukas Lening #2","2026-05-11 09:21:37",1.00000,2,lukaslen
192,15925286,"Max Baglione","2026-05-11 09:25:50",1.00000,8,maxbaglione
193,15908679,"Jana Ilic","2026-05-11 09:24:37",1.00000,14,janailic
194,15925311,"Lena Vadakkel","2026-05-11 11:11:12",1.00000,7,lenavadakkel
195,15928328,"[Deleted] dac35553-9ca4-404b-98d4-0d15788ed8e1","2026-05-11 14:07:22",1.00000,10,del=95d599fb7c549f3d
196,15928787,"benjamin :D","2026-05-11 14:09:00",1.00000,4,benjaminaiforthewin
197,15927430,"Neeraja Kugathasan","2026-05-18 09:42:44",1.00000,4,neerajakugathasan
198,15930271,"Samuel #15","2026-05-11 16:57:37",1.00000,1,samuel1211
199,15928546,tqwuis,"2026-05-23 10:01:32",1.00000,7,tqwuis
200,15924944,"Albion Mucoli","2026-05-12 07:35:01",1.00000,3,albionml
201,15928060,"Fabio Aiello","2026-05-12 07:41:34",1.00000,11,fabioaiello1
202,15872864,öpertdums,"2026-05-13 11:00:46",1.00000,11,pertdums
203,15875226,"Kristian Anastasia","2026-05-13 14:01:34",1.00000,10,kristiananastasia
204,15875168,Manuel_Buerki,"2026-05-13 14:11:06",1.00000,19,manuelbuerki
205,15950440,"RADOT WAHANDA PUTRA TAMBUNAN 411222006","2026-05-13 17:04:40",1.00000,3,radotwahanda
206,15967178,v.zaycev,"2026-05-14 09:41:14",1.00000,2,vzaycev
207,15977525,NyuuDev,"2026-05-14 22:12:38",1.00000,2,nyuudev
208,15989448,"Qi Deng","2026-05-16 00:41:39",1.00000,1,ev1lkow
209,481883,HideyukiShibata,"2026-05-16 03:37:56",1.00000,20,shivahide
210,12932725,"Muhammad Firdaus #2","2026-05-18 08:57:55",1.00000,1,ldausl
211,16010968,"Naila Durovic","2026-05-18 10:16:13",1.00000,1,nailaad
212,15927740,"Dennis Greisinger","2026-05-18 11:50:11",1.00000,5,dennisgreisinger
213,16020940,nanshinan123,"2026-05-21 12:25:28",1.00000,17,nanshinan123
214,15056885,"Ra'uf Fauzan Rambe","2026-05-21 23:13:38",1.00000,1,rauffauzanrambe
215,15984544,"Zheng Yukun","2026-05-22 04:17:12",1.00000,3,zhengyukun08
216,16046586,SamuelJiayiYang,"2026-05-22 06:01:58",1.00000,4,samueljiayiyang
217,15919341,kamibaba,"2026-05-24 00:27:03",1.00000,16,kamibaba
218,16062521,"A. R. SEKKAT","2026-05-24 11:12:37",1.00000,2,arsekkat
219,11585548,"Alone Within","2026-05-26 03:55:42",1.00000,3,grayness
220,15693659,hjyact,"2026-05-26 06:58:57",1.00000,5,hjyact
221,16082565,HARIDOSS,"2026-05-26 11:01:56",1.00000,2,haridoss31
222,16082858,"Decolv D","2026-05-26 11:42:19",1.00000,2,decolvd
223,16108691,"Akshat Rai","2026-05-29 08:31:03",1.00000,1,akshatrai07
224,16108882,MagicSun,"2026-05-29 09:08:37",1.00000,5,magicsun
225,16110996,"Sem Simonyan","2026-05-29 13:33:16",1.00000,3,semsimonyan
226,16112794,Chriz,"2026-05-29 16:46:07",1.00000,1,chrisopherjoshy
227,2809343,"Luan Truong","2026-05-31 10:29:46",1.00000,8,luantruong
228,16012126,"Jean-Roch CHABAS","2026-05-31 13:39:31",1.00000,13,jeanrochchabas
229,9776633,"Anirban Chatterjee #2","2026-06-01 14:07:10",1.00000,1,anivana
230,15618728,"Kanishka Dilshan","2026-04-15 02:40:30",0.99760,3,kanishkadilshan96
231,15582157,2704김가은,"2026-04-16 06:17:39",0.99760,22,mt2704
232,15677933,pcasale,"2026-04-21 21:12:24",0.99760,3,pcasale
233,3903003,"Bill Ma #2","2026-05-25 06:28:02",0.99760,16,u1604521
234,16104201,Vihaan_Unkal,"2026-06-01 04:26:16",0.99760,6,vihaanunkal
235,12719475,"typow tymur","2026-05-02 03:54:17",0.99521,65,typowtymur
236,15942570,nullz,"2026-05-13 14:56:24",0.99521,4,nullz0
237,13674882,forres.zhaoc,"2026-05-12 07:33:31",0.99282,123,forreszhaoc
238,15162427,"Himanshu Singh #9","2026-04-11 15:34:23",0.99043,2,themlspecialist
239,15948595,Pommes,"2026-05-13 14:07:25",0.99043,7,pommes123456
240,15893513,songjinhos,"2026-05-10 08:50:48",0.98803,5,songjinhos
241,15875253,"Ozan Tutkun","2026-05-13 10:26:21",0.98803,8,helvetia
242,11179131,"eric #9","2026-05-18 20:31:59",0.98803,25,ericjame
243,15636006,Doracodinglife,"2026-04-17 06:43:38",0.98564,1,doracodinglife
244,16132977,MiloDing,"2026-05-31 13:00:59",0.98564,1,miloding
245,15631444,"Daniel Bagshawe","2026-04-19 15:13:05",0.98325,20,danielbagshawe
246,15926191,"Jia En Chuah","2026-05-17 08:52:28",0.97129,21,pandaxje
247,4003484,"khaled mohammed","2026-04-08 15:05:35",0.96889,10,master1joker
248,16075030,guangguan,"2026-06-01 14:14:57",0.95933,6,tanzhuoran
249,15758890,"Chen Chio Cheong","2026-04-28 09:42:37",0.94019,6,chenchiocheong
250,15572190,"Andrew Plute","2026-04-26 16:09:47",0.92583,35,andrewplute
251,15610090,"oliver #3","2026-04-24 15:28:03",0.92583,38,oliverlang
252,15925137,"Marco #13","2026-05-11 08:14:00",0.92105,8,marcoswrld
253,15250309,87630020a,"2026-05-21 17:51:21",0.90669,1,voffmail2
254,15643576,Bryan326,"2026-04-25 07:22:56",0.90430,17,bryan326
255,15353973,zhangliye111,"2026-04-24 05:43:07",0.89473,3,zhangliye111
256,15924950,"Nicola #2","2026-05-11 07:55:53",0.89473,8,nicolapf
257,14439316,LVYUJIAO,"2026-05-25 09:14:21",0.89473,2,lvyujiao
258,15550902,"Bene Arnthof","2026-04-17 12:13:04",0.87799,91,benearnthof
259,15563963,"Kaido #2","2026-04-07 21:17:52",0.87799,2,reakon
260,15487684,"Alperen kısa","2026-05-15 17:47:45",0.87799,24,alperenksa
261,15742190,zhaozihan20090511,"2026-04-26 06:57:26",0.87559,1,zhaozihan20090511
262,15742205,zhaoruochen20071221,"2026-04-26 07:00:17",0.87559,1,zhaoruochen20071221
263,15742214,mengziyang090328,"2026-04-26 07:01:54",0.87559,1,mengziyang090328
264,15279166,nichuwen20091230,"2026-05-04 02:10:38",0.87559,1,nichuwen20091230
265,15637189,"Mook Maruko","2026-05-09 03:59:38",0.86124,27,mookmaruko
266,15875312,"Gian Hari","2026-05-13 14:08:28",0.86124,8,gianhari
267,11883766,"shen shiyun","2026-05-27 13:46:59",0.85885,12,shenshiyun
268,15929242,"Timo PoIzer","2026-05-11 15:09:25",0.84928,3,timopoizer
269,15926246,"Céline Kölbl","2026-05-13 11:18:01",0.84688,7,clineklbl
270,16010345,"Noemi SH","2026-05-18 11:08:42",0.84688,2,noemish
271,15731597,"shanji wang","2026-05-03 09:00:12",0.83253,53,shanjiwang
272,15522857,"HoaiPhong Nguyen","2026-05-29 22:08:22",0.82535,60,hoaiphongnguyen
273,15755293,Hayden_188448787,"2026-04-27 19:05:52",0.82535,1,hayden188448787
274,13930898,"Paul Kim #8","2026-04-27 21:05:38",0.82535,10,mageproger
275,15762682,"Yang Gao #2","2026-04-28 09:11:28",0.82535,5,yanggao0504
276,15675614,"Onabanjo Kofoworola","2026-04-28 20:55:18",0.82535,7,onabanjokofoworola
277,15771811,MATSUCHATARO,"2026-05-01 07:42:25",0.82535,2,matsuchataro
278,15872889,Vintxge,"2026-05-06 12:44:11",0.82535,6,vintxge
279,15875044,"[Deleted] 0d38afea-5149-4f40-a7f8-6857d3ef2f81","2026-05-13 09:34:26",0.82535,9,del=7387a7e4cf8abc37
280,15872066,CadimaLusiola,"2026-05-06 12:49:40",0.82535,4,cadimalusiola
281,15872672,"Raiyan Mahfuz","2026-05-06 12:50:19",0.82535,7,raiyanmahfuz
282,15875178,Matteo1233e2313,"2026-05-06 14:09:29",0.82535,4,matteo1233e2313
283,15873413,"Enzo Terenziani","2026-05-06 13:13:17",0.82535,6,enzoterenziani
284,15873566,holensteinm,"2026-05-07 05:48:15",0.82535,7,holensteinm
285,15875104,IM23aKevin,"2026-05-07 06:41:55",0.82535,11,im23akevin
286,15875143,Jerome-IMS,"2026-05-07 08:59:14",0.82535,11,jeromeims
287,15875100,"Frederik Spirgi","2026-05-07 09:21:24",0.82535,11,frederikspirgi
288,15906840,"Cong Wen Chen","2026-05-12 06:31:29",0.82535,17,congwenchen
289,15935313,"CAFADAFL Liu","2026-05-12 05:51:32",0.82535,1,cafadaflliu
290,15875151,"Kristian Cerni","2026-05-12 07:48:56",0.82535,9,kristiancerni
291,15922220,BrillBabyTape,"2026-05-12 19:45:21",0.82535,20,brillbabytape
292,15875032,"Anthony Cieslik","2026-05-13 07:51:29",0.82535,4,polonezspam
293,15946291,"bekzod umirjonov","2026-05-13 08:07:49",0.82535,1,bekzodumirjonov
294,15946951,"Harisaran Mohanathas","2026-05-13 09:26:23",0.82535,2,harisaranmohanathas
295,15947014,Maximillian5713,"2026-05-13 12:02:20",0.82535,8,maximillian5713
296,15752330,"Anna #34","2026-04-27 16:16:34",0.82296,5,annamisaki
297,16005812,"Kuon Ito","2026-05-17 19:42:15",0.82296,1,kuonism
298,16047011,"Nazar Yestayev","2026-05-29 18:18:04",0.82296,47,nazaryestayev
299,15556010,"Felix Lindström","2026-04-27 15:52:17",0.82057,10,felixlindstrm
300,15752704,"Naoki Takehara","2026-04-27 22:06:26",0.82057,7,naokitakehara
301,15736742,"marly marly","2026-05-22 10:44:25",0.82057,51,marlymarly
302,15986343,"ai student","2026-05-17 04:04:30",0.82057,18,aiseren
303,15980714,AIstudenta,"2026-05-23 11:58:25",0.82057,20,aistudenta
304,15571876,吧啦!吧啦啦!,"2026-04-07 15:19:45",0.81818,2,balala0001
305,15588552,"Ganesh B.Halakurki","2026-04-10 07:01:32",0.81818,7,ganeshbhalakurki
306,15646834,"chakir benlafkih #2","2026-04-19 11:02:02",0.81818,8,cbenlafk01eduoujda
307,10026523,Kenchii,"2026-04-22 00:34:06",0.81818,2,kenchii
308,14887125,VrushalMore,"2026-05-22 19:18:44",0.81818,18,vrushalmore
309,14969599,hopcos,"2026-05-15 03:01:05",0.81818,145,hopcos
310,15906841,mdlmdl,"2026-05-09 15:07:17",0.81818,9,mdlmdl12138
311,15913789,dtragoud,"2026-05-17 19:30:33",0.81818,46,dtragoud
312,16026198,"Yamamura Naoto","2026-05-26 18:14:23",0.81818,32,yamamuranaoto
313,16069811,"SORA #3","2026-05-27 02:29:06",0.81818,8,jthauhunjkhgsk
314,16074506,Tomoyaaaaaaaaaaaaaa,"2026-05-27 02:58:21",0.81818,11,tomoyaaaaaaaaaaaaaa
315,15283332,"Yoshikawa Takashi","2026-04-27 11:31:33",0.81578,192,yoshikawatakashi
316,15408011,"Déreck M'PO","2026-04-07 14:52:43",0.81578,3,dreckmpo
317,15377668,"Chloe Zhou","2026-04-06 08:14:06",0.81578,1,chloezhoudev
318,15536782,"Masaru Maeda","2026-04-07 02:45:06",0.81578,19,masarumaeda
